deal id,seller id,seller,brand,category,product name,stock,sell price,discount value,discounted price,discount_ratio
13151898,140453,더베이스_Q,NIKE,티셔츠,나이키 티셔츠 DR8036100,9,85000.00,0.000,85000.000,0.0000
13151884,140453,더베이스_Q,NIKE,티셔츠,나이키 티셔츠 DR8064010,4,85000.00,0.000,85000.000,0.0000
13151828,140453,더베이스_Q,NIKE,티셔츠,나이키 티셔츠 DX2301077,6,98000.00,0.000,98000.000,0.0000
13151790,140453,더베이스_Q,NIKE,티셔츠,나이키 티셔츠 DD9702010,10,91000.00,0.000,91000.000,0.0000
13151732,140453,더베이스_Q,NIKE,티셔츠,나이키 티셔츠 DX2301010,3,98000.00,0.000,98000.000,0.0000
13152092,139812,더베이스_R,NIKE,팬츠,나이키 팬츠 CU4501 010,1,157000.00,10000.000,147000.000,0.0637
13151874,140453,더베이스_Q,NIKE,팬츠,나이키 팬츠 DM6843334,4,174000.00,3000.000,171000.000,0.0172
13151802,140453,더베이스_Q,NIKE,팬츠,나이키 팬츠 DX2027010,11,140000.00,0.000,140000.000,0.0000
13151913,140453,더베이스_Q,NIKE,후드 & 스웻셔츠,나이키 후드 & 스웻셔츠 DX2028072,10,147000.00,3000.000,144000.000,0.0204
13151863,140453,더베이스_Q,NIKE,후드 & 스웻셔츠,나이키 후드 & 스웻셔츠 DX2028063,4,147000.00,3000.000,144000.000,0.0204
13151809,140453,더베이스_Q,NIKE,후드 & 스웻셔츠,나이키 후드 & 스웻셔츠 DX2026410,6,147000.00,3000.000,144000.000,0.0204
13147785,333703,더베이스_AH,NINA RICCI,기타,니나리찌 원피스 & 드레스 22ACTO008VI0494U5167,2,1286000.00,341000.000,945000.000,0.2652
13150760,140453,더베이스_Q,NINALILOU,샌들,Ninalilou 샌들 321203L1LOVE1154,1,515000.00,162000.000,353000.000,0.3146
13147874,77165,더베이스,NUÈ,탑,누에 탑 100 01,1,995000.00,286000.000,709000.000,0.2874
13151778,140453,더베이스_Q,N°21,로퍼,N21 로퍼 ISP0361036122BLACK,3,812000.00,76000.000,736000.000,0.0936
13144248,140453,더베이스_Q,OAKLEY,선글라스,오클리 선글라스 0OO90139013D0,2,225000.00,26000.000,199000.000,0.1156
13144246,140453,더베이스_Q,OAKLEY,선글라스,오클리 선글라스 0OO90139013H7,2,225000.00,26000.000,199000.000,0.1156
13146406,96815,더베이스,OFF WHITE,기타,오프화이트 가방 OWNA198F22LEA004 0110,1,1640000.00,749000.000,891000.000,0.4567
13146332,218031,더베이스_W,OFF WHITE,기타,오프화이트 가방 OWNN057F22FAB0011000,1,1321000.00,128000.000,1193000.000,0.0969
13145282,136979,더베이스_P,OFF WHITE,기타,오프화이트 스커트 OWCC151F22FAB0025084,2,1651000.00,829000.000,822000.000,0.5021
13144809,136979,더베이스_P,OFF WHITE,기타,오프화이트 주얼리 OMOA071F22MAT0018400,4,702000.00,312000.000,390000.000,0.4444
13152099,139812,더베이스_R,OFF WHITE,니트 & 스웨터,오프화이트 니트 & 스웨터 OMHE137F22KNI001 4545,2,1736000.00,776000.000,960000.000,0.4470
13144792,136979,더베이스_P,OFF WHITE,니트 & 스웨터,오프화이트 니트 & 스웨터 OMHA167F22KNI0010384,2,3133000.00,1655000.000,1478000.000,0.5282
13148386,96815,더베이스,OFF WHITE,다운 자켓,오프화이트 다운 자켓 OMED045F22FAB001 4501,3,3447000.00,1706000.000,1741000.000,0.4949
13144813,136979,더베이스_P,OFF WHITE,머플러 & 스카프,오프화이트 머플러 & 스카프 OMMA001F22KNI0014520,3,618000.00,272000.000,346000.000,0.4401
